station_id,s_no,battery_status,status_timestamp,weather_humidity,weather_temperature,weather_wind_speed
9,1,medium,1684571218074,34,105,43
9,2,low,1684571223258,48,130,106
9,3,high,1684571224291,86,107,25
9,4,low,1684571225298,70,90,50
9,5,high,1684571226308,83,3,40
9,6,low,1684571227322,19,54,91
9,7,medium,1684571228325,35,106,123
9,8,medium,1684571229338,53,134,36
9,10,high,1684571230354,83,27,92
9,11,high,1684571231355,92,20,81
9,12,low,1684571232371,54,126,107
9,13,low,1684571233387,92,37,130
9,14,medium,1684571234401,65,92,13
9,15,low,1684571235416,70,18,84
9,16,medium,1684571236432,9,0,121
9,17,high,1684571237448,83,12,109
9,18,high,1684571238449,25,109,64
9,19,medium,1684571239465,0,79,96
9,21,medium,1684571240480,94,3,67
9,22,high,1684571241495,100,60,92
9,23,low,1684571242510,36,45,110
9,25,high,1684571243519,51,69,60
9,26,medium,1684571244527,36,41,77
9,27,high,1684571245542,20,41,26
9,28,low,1684571246558,43,45,139
9,29,medium,1684571247574,70,67,146
9,30,low,1684571248589,79,81,95
9,31,low,1684571249605,72,32,129
9,32,high,1684571250606,61,31,109
9,33,high,1684571251622,65,24,20
9,34,medium,1684571252637,55,53,86
9,35,low,1684571253643,24,78,127
9,36,medium,1684571254653,17,57,22
9,37,medium,1684571255668,68,39,85
9,38,low,1684571256675,47,61,145
9,40,medium,1684571257690,30,62,46
9,41,medium,1684571258715,50,34,81
9,42,medium,1684571259729,33,121,61
9,44,medium,1684571260731,94,26,17
9,45,low,1684571261746,1,97,20
9,46,high,1684571262760,58,94,102
9,47,high,1684571263775,17,35,120
9,48,medium,1684571264792,52,22,104
9,49,low,1684571265807,21,58,64
9,50,low,1684571266812,90,4,30
9,51,medium,1684571267823,44,7,28
9,52,high,1684571268837,56,6,61
9,54,medium,1684571269838,60,107,94
9,55,medium,1684571270852,71,20,62
9,56,high,1684571271869,25,71,143
9,57,medium,1684571272883,75,106,52
9,58,low,1684571273886,94,17,52
9,59,low,1684571274898,69,136,136
9,60,high,1684571275914,69,144,28
9,61,low,1684571276916,16,137,108
9,62,high,1684571277931,40,53,70
9,63,low,1684571278947,17,64,28
9,64,medium,1684571279961,77,48,50
9,65,medium,1684571280962,19,31,134
9,66,medium,1684571281978,33,136,26
9,67,high,1684571282991,84,18,89
9,68,low,1684571284010,4,40,140
9,70,high,1684571285019,16,133,88
9,71,low,1684571286043,61,88,138
9,72,medium,1684571287058,20,76,17
9,73,high,1684571288074,36,76,109
9,74,medium,1684571289076,39,101,8
9,75,medium,1684571290089,1,103,101
9,76,low,1684571291093,43,52,80
9,78,low,1684571292117,18,2,138
9,79,high,1684571293119,10,122,39
9,80,medium,1684571294131,15,131,140
9,81,low,1684571295148,17,37,16
9,82,medium,1684571296163,56,11,96
9,83,low,1684571297170,97,120,36
9,85,medium,1684571298175,41,102,77
9,86,low,1684571299189,82,50,32
9,87,high,1684571300203,35,22,127
9,88,medium,1684571301207,61,21,33
9,89,high,1684571302219,23,133,48
9,90,medium,1684571303234,16,91,47
9,91,medium,1684571304240,30,73,111
9,92,medium,1684571305253,48,63,7
9,94,high,1684571306255,29,69,13
9,95,low,1684571307272,61,136,9
9,96,high,1684571308285,13,80,113
9,97,medium,1684571309296,26,48,144
9,98,low,1684571310297,24,132,123
9,99,low,1684571311307,36,12,58
9,100,medium,1684571312310,94,21,86
9,101,high,1684571313328,90,111,74
9,103,low,1684571314341,93,133,56
9,104,medium,1684571315343,71,72,66
9,105,low,1684571316346,95,51,126
9,106,low,1684571317357,23,10,73
9,107,medium,1684571318372,20,99,40
9,108,medium,1684571319386,46,12,6
9,109,medium,1684571320392,91,34,96
9,110,high,1684571321401,69,57,41
9,111,medium,1684571322417,87,41,33
9,112,high,1684571323431,7,26,108
9,113,medium,1684571324440,12,53,21
9,114,high,1684571325450,63,103,88
9,115,medium,1684571326452,70,59,77
9,116,low,1684571327456,18,62,130
9,117,medium,1684571328463,74,90,50
9,119,low,1684571329481,96,129,93
9,120,low,1684571330496,71,67,27
9,121,medium,1684571331501,11,95,33
9,122,high,1684571332511,87,60,6
9,123,medium,1684571333526,96,38,40
9,124,medium,1684571334531,9,46,62
9,126,low,1684571335540,82,135,27
9,127,high,1684571336556,84,66,7
9,128,low,1684571337559,68,122,145
9,129,medium,1684571338576,88,73,36
9,130,low,1684571339588,36,53,98
9,131,high,1684571340597,21,76,104
9,132,low,1684571341602,6,72,136
9,133,medium,1684571342618,78,34,91
9,134,low,1684571343634,18,124,121
9,135,medium,1684571344649,99,79,60
9,136,medium,1684571345656,83,36,49
9,137,low,1684571346664,22,87,132
9,139,high,1684571347668,100,73,124
9,140,high,1684571348685,84,124,55
9,141,medium,1684571349702,60,104,146
9,142,high,1684571350716,96,122,99
9,143,medium,1684571351743,98,39,128
9,144,low,1684571352758,55,51,103
9,145,high,1684571353765,82,82,62
9,146,medium,1684571354773,1,128,101
9,147,low,1684571355790,30,102,58
9,149,high,1684571356801,74,40,111
9,150,medium,1684571357813,81,7,62
9,151,medium,1684571358823,68,104,133
9,152,medium,1684571359838,89,49,22
9,153,medium,1684571360841,31,99,61
9,154,low,1684571361851,77,111,141
9,156,low,1684571362859,7,41,71
9,157,high,1684571363867,34,95,140
9,158,low,1684571364880,59,18,105
9,159,medium,1684571365898,15,30,22
9,160,high,1684571366908,2,139,123
9,162,low,1684571367911,57,6,125
9,163,low,1684571368913,31,53,121
9,164,medium,1684571369928,34,116,9
9,165,high,1684571370932,82,142,107
9,166,medium,1684571371942,89,39,109
9,167,medium,1684571372949,53,82,21
9,168,high,1684571373956,48,9,86
9,169,medium,1684571374961,50,21,6
9,170,low,1684571375970,76,135,146
9,171,high,1684571376985,46,113,147
9,172,low,1684571377988,84,33,133
9,173,medium,1684571379005,44,67,96
9,174,low,1684571380019,47,72,148
9,176,medium,1684571381022,73,85,76
9,177,high,1684571382036,47,112,56
9,178,medium,1684571383050,72,115,82
9,179,low,1684571384064,8,119,76
9,180,medium,1684571385080,74,93,66
9,181,medium,1684571386096,92,115,117
9,182,low,1684571387109,68,1,55
9,183,high,1684571388124,55,56,6
9,184,medium,1684571389134,95,87,135
9,185,medium,1684571390157,14,97,140
9,186,low,1684571391160,28,43,98
9,187,high,1684571392165,75,9,82
9,188,medium,1684571393177,75,33,13
9,189,high,1684571394190,59,113,25
9,191,high,1684571395204,56,47,33
9,192,medium,1684571396214,72,41,12
9,193,low,1684571397227,47,16,119
9,194,low,1684571398242,100,137,24
9,195,medium,1684571399251,24,35,35
9,196,low,1684571400257,99,102,90
9,197,medium,1684571401277,69,123,82
9,198,high,1684571402289,81,49,83
9,199,high,1684571403300,80,89,121
9,201,medium,1684571404303,30,10,25
9,202,low,1684571405315,20,61,105
9,203,high,1684571406320,87,132,7
9,204,low,1684571407339,72,120,100
9,205,medium,1684571408346,39,11,142
9,206,medium,1684571409362,27,130,85
9,208,medium,1684571410375,36,3,93
9,209,high,1684571411392,59,130,17
9,210,high,1684571412406,30,64,88
9,211,medium,1684571413408,37,125,37
9,212,low,1684571414411,4,97,119
9,213,medium,1684571415418,64,44,67
9,215,low,1684571416430,98,138,19
9,216,high,1684571417435,66,106,5
9,217,high,1684571418453,53,59,18
9,218,medium,1684571419467,47,128,70
9,219,low,1684571420469,38,144,129
9,220,medium,1684571421483,62,83,87
9,221,low,1684571422492,44,73,14
9,223,medium,1684571423504,26,24,19
9,224,high,1684571424514,21,0,17
9,225,high,1684571425517,35,139,42
9,226,medium,1684571426529,84,129,117
9,227,low,1684571427534,58,43,10
9,228,high,1684571428549,31,96,92
9,229,medium,1684571429564,53,102,126
9,230,low,1684571430579,42,131,72
9,231,medium,1684571431594,48,99,136
9,232,high,1684571432609,57,133,138
9,233,low,1684571433620,26,124,84
9,235,medium,1684571434623,13,129,147
9,236,medium,1684571435626,69,119,56
9,237,low,1684571436639,90,27,58
9,238,low,1684571437655,57,110,92
9,239,high,1684571438658,37,131,38
9,240,medium,1684571439670,50,51,24
9,241,low,1684571440682,17,115,5
9,242,low,1684571441690,69,49,93
9,243,medium,1684571442697,83,142,134
9,244,medium,1684571443698,9,80,47
9,246,high,1684571444716,14,34,148
9,247,medium,1684571445732,22,134,116
9,248,high,1684571446733,13,119,40
9,249,medium,1684571447747,48,20,87
9,250,high,1684571448760,46,92,133
9,251,medium,1684571449777,51,12,80
9,252,low,1684571450792,89,126,84
9,253,high,1684571451807,72,70,100
9,255,medium,1684571452809,83,101,117
9,256,medium,1684571453825,57,40,87
9,257,high,1684571454840,70,31,11
9,258,low,1684571455841,0,75,8
9,259,low,1684571456843,55,76,140
9,260,high,1684571457855,66,54,137
9,262,high,1684571458859,50,44,69
9,263,medium,1684571459868,85,68,87
9,264,medium,1684571460869,46,14,55
9,265,high,1684571461884,46,0,109
9,266,low,1684571462887,1,114,111
9,267,medium,1684571463900,5,62,5
9,268,high,1684571464915,82,114,75
