station_id,s_no,battery_status,status_timestamp,weather_humidity,weather_temperature,weather_wind_speed
5,1,medium,1684571218347,56,15,119
5,2,high,1684571224123,42,131,145
5,3,medium,1684571225141,29,63,137
5,4,medium,1684571226150,8,91,127
5,6,high,1684571227155,27,28,119
5,7,medium,1684571228157,83,147,8
5,8,low,1684571229172,19,61,41
5,9,low,1684571230188,12,97,112
5,10,low,1684571231203,38,82,99
5,11,medium,1684571232219,21,65,119
5,12,medium,1684571233236,61,20,131
5,13,medium,1684571234249,82,59,32
5,14,high,1684571235267,11,130,146
5,15,low,1684571236268,78,50,61
5,16,medium,1684571237279,72,112,30
5,17,low,1684571238297,73,93,99
5,18,high,1684571239313,44,85,149
5,19,high,1684571240328,18,26,121
5,22,high,1684571241343,31,9,105
5,23,low,1684571242359,34,138,18
5,24,medium,1684571243361,2,74,69
5,25,low,1684571244375,73,67,145
5,26,high,1684571245391,46,93,104
5,27,medium,1684571246407,78,68,87
5,28,medium,1684571247424,13,75,113
5,29,low,1684571248436,42,68,67
5,30,high,1684571249453,48,3,130
5,31,medium,1684571250469,4,42,42
5,32,low,1684571251485,66,128,145
5,33,low,1684571252514,55,63,58
5,35,low,1684571253531,72,106,50
5,36,high,1684571254547,10,45,69
5,37,high,1684571255551,1,31,87
5,38,high,1684571256564,58,57,23
5,39,medium,1684571257578,84,5,26
5,40,medium,1684571258594,36,66,28
5,41,high,1684571259596,71,101,58
5,42,medium,1684571260609,57,4,64
5,44,medium,1684571261611,52,70,77
5,45,high,1684571262624,91,63,76
5,46,low,1684571263626,45,101,50
5,47,low,1684571264641,6,82,100
5,48,low,1684571265649,80,123,31
5,49,high,1684571266654,18,66,140
5,50,medium,1684571267664,93,22,63
5,51,high,1684571268673,70,7,11
5,52,medium,1684571269687,16,91,10
5,53,medium,1684571270704,75,22,73
5,54,low,1684571271721,69,132,83
5,56,high,1684571272735,73,104,98
5,57,low,1684571273740,74,28,120
5,58,medium,1684571274751,68,19,124
5,59,low,1684571275767,93,111,48
5,60,medium,1684571276781,54,16,63
5,61,medium,1684571277796,9,110,29
5,63,high,1684571278811,39,48,48
5,64,high,1684571279828,81,2,120
5,65,high,1684571280852,98,40,80
5,66,medium,1684571281862,55,86,99
5,67,medium,1684571282873,8,123,96
5,68,medium,1684571283894,33,14,103
5,69,low,1684571284908,80,18,69
5,70,low,1684571285920,66,82,129
5,71,high,1684571286952,99,46,141
5,72,high,1684571287966,47,23,51
5,73,medium,1684571288981,45,2,85
5,74,medium,1684571289988,60,26,46
5,75,low,1684571290999,75,135,148
5,76,high,1684571292015,91,25,119
5,78,medium,1684571293017,48,119,67
5,79,low,1684571294035,84,52,142
5,80,medium,1684571295046,83,146,76
5,81,high,1684571296061,2,32,50
5,82,medium,1684571297077,78,58,80
5,84,low,1684571298079,91,58,21
5,85,medium,1684571299094,77,115,93
5,86,low,1684571300108,30,107,67
5,87,low,1684571301123,53,19,76
5,88,medium,1684571302125,23,28,51
5,89,high,1684571303139,19,32,39
5,90,medium,1684571304141,24,127,24
5,91,medium,1684571305159,75,25,35
5,92,high,1684571306169,73,93,113
5,93,low,1684571307178,85,47,79
5,94,medium,1684571308189,19,101,109
5,95,high,1684571309200,80,99,53
5,96,medium,1684571310203,19,92,124
5,97,medium,1684571311213,80,88,16
5,99,high,1684571312231,25,136,68
5,100,low,1684571313247,69,19,40
5,101,medium,1684571314264,60,142,102
5,102,medium,1684571315279,4,112,102
5,103,low,1684571316283,58,120,63
5,105,low,1684571317293,59,110,144
5,106,high,1684571318308,40,85,29
5,107,high,1684571319323,3,124,87
5,108,high,1684571320345,96,127,38
5,109,low,1684571321355,59,131,7
5,110,medium,1684571322370,69,16,26
5,111,low,1684571323384,77,10,7
5,112,high,1684571324394,69,111,19
5,113,low,1684571325404,59,25,90
5,114,medium,1684571326405,90,128,59
5,115,low,1684571327422,58,108,38
5,116,high,1684571328432,99,68,119
5,118,medium,1684571329434,69,92,118
5,119,medium,1684571330447,53,89,118
5,120,high,1684571331452,32,94,78
5,121,medium,1684571332464,97,105,23
5,122,medium,1684571333479,93,72,37
5,123,low,1684571334484,37,37,43
5,124,high,1684571335493,62,99,43
5,125,medium,1684571336510,96,43,94
5,126,medium,1684571337513,59,21,132
5,127,low,1684571338526,55,146,143
5,128,high,1684571339542,25,76,136
5,129,high,1684571340550,84,59,105
5,131,medium,1684571341556,49,96,29
5,132,high,1684571342571,5,94,36
5,133,medium,1684571343586,88,87,97
5,134,low,1684571344602,90,9,97
5,135,low,1684571345632,9,120,52
5,136,medium,1684571346633,78,2,111
5,137,low,1684571347638,3,26,43
5,138,high,1684571348653,78,4,76
5,140,high,1684571349664,50,101,96
5,141,low,1684571350668,60,31,148
5,142,high,1684571351680,85,135,12
5,144,medium,1684571352695,9,86,89
5,145,low,1684571353726,89,106,108
5,146,high,1684571354741,45,103,40
5,147,medium,1684571355757,3,103,67
5,148,low,1684571356769,51,72,101
5,149,medium,1684571357773,75,101,12
5,150,medium,1684571358775,96,34,77
5,151,medium,1684571359791,38,104,79
5,152,low,1684571360794,14,67,46
5,153,high,1684571361804,45,71,64
5,154,medium,1684571362819,70,78,103
5,155,high,1684571363836,14,24,148
5,156,medium,1684571364850,12,23,90
5,157,medium,1684571365867,70,36,46
5,158,low,1684571366876,63,99,73
5,160,high,1684571367879,69,37,81
5,161,low,1684571368882,48,120,8
5,162,low,1684571369897,21,75,112
5,163,medium,1684571370901,28,16,23
5,164,high,1684571371911,83,51,33
5,165,low,1684571372917,1,86,86
